Point,Time (s),Temperature (K)
361,9.026500e+01,10.006669
362,9.051500e+01,10.000204
363,9.076000e+01,9.997158
364,9.100700e+01,9.998540
365,9.126100e+01,9.999294
366,9.150800e+01,9.999885
367,9.176200e+01,10.002142
368,9.202100e+01,10.000281
369,9.226200e+01,9.994570
370,9.251100e+01,9.992263
371,9.275800e+01,9.997717
372,9.300800e+01,9.995708
373,9.326900e+01,9.994094
374,9.350800e+01,10.001345
375,9.376500e+01,9.998711
376,9.400800e+01,9.995996
377,9.426000e+01,9.994931
378,9.451000e+01,9.997438
379,9.475700e+01,9.996626
380,9.501200e+01,9.995944
381,9.526600e+01,9.991173
382,9.550700e+01,9.988103
383,9.575600e+01,9.988133
384,9.600700e+01,9.991740
385,9.627400e+01,9.998078
386,9.650900e+01,9.999870
387,9.675900e+01,9.998302
388,9.701100e+01,9.993466
389,9.725900e+01,9.989201
390,9.750700e+01,9.992010
391,9.776200e+01,9.992433
392,9.801700e+01,9.992625
393,9.826100e+01,9.993279
394,9.851700e+01,9.997806
395,9.876100e+01,10.002032
396,9.901100e+01,10.005039
397,9.926200e+01,10.002616
398,9.950700e+01,10.001523
399,9.976000e+01,10.001506
400,1.000110e+02,9.999377
401,1.002570e+02,10.001554
402,1.005130e+02,10.005075
403,1.007650e+02,10.006887
404,1.010110e+02,10.007175
405,1.012570e+02,10.005010
406,1.015080e+02,10.003653
407,1.017590e+02,10.002602
408,1.020110e+02,10.001756
409,1.022600e+02,10.001352
410,1.025100e+02,10.005672
411,1.027570e+02,10.007125
412,1.030070e+02,10.006423
413,1.032590e+02,10.007026
414,1.035080e+02,10.005481
415,1.037590e+02,10.001509
416,1.040070e+02,9.998288
417,1.042570e+02,10.000068
418,1.045090e+02,10.002745
