Point,Time (s),Temperature (K)
270,6.751300e+01,9.991620
271,6.776300e+01,9.989056
272,6.801300e+01,9.988300
273,6.826000e+01,9.988630
274,6.851500e+01,9.991596
275,6.876900e+01,9.992489
276,6.901500e+01,9.992734
277,6.927200e+01,9.993445
278,6.951400e+01,9.992122
279,6.977000e+01,9.991278
280,7.001900e+01,9.986864
